incidente,data_andamento,decisao,agravo,orgao_julgador,novo_cpc,adc,adi,adpf,re,sumula,assunto,segmento,instancia,area,paradigma,efeito_vinculante,data_autuacao
4551139,2015-03-13,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-03-28
4555201,2015-03-13,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-04-04
4581833,2015-03-13,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,superior,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2014-05-29
4581852,2015-03-13,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,primeira,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2014-05-29
4455023,2015-03-17,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,primeira,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2013-08-27
4586771,2015-03-17,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-06-05
4586933,2015-03-17,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PROCESSUAL CIVIL E DO TRABALHO,trabalho,superior,DIREITO PROCESSUAL CIVIL E DO TRABALHO,inter_partes,nao_vinculante,2014-06-05
4668871,2015-03-17,procedente,não,Teori Zavascki,CPC/1973,não,não,não,não,não,PENAL E PROCESSO PENAL,estadual,segunda,DIREITO PENAL,inter_partes,nao_vinculante,2014-11-11
4436355,2015-03-18,procedente,não,Cármen Lúcia,CPC/1973,sim,sim,não,não,não,PENAL E PROCESSO PENAL,estadual,primeira,DIREITO PROCESSUAL PENAL,controle_concentrado,vinculante,2013-07-11
4436355,2015-03-18,procedente,não,Cármen Lúcia,CPC/1973,sim,sim,não,não,não,PENAL E PROCESSO PENAL,estadual,segunda,DIREITO PROCESSUAL PENAL,controle_concentrado,vinculante,2013-07-11
4628005,2015-03-18,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,inter_partes,nao_vinculante,2014-09-04
4684371,2015-03-18,procedente,não,Cármen Lúcia,CPC/1973,não,não,não,não,sim,TRABALHO E PREVIDENCIÁRIO,trabalho,segunda,DIREITO DO TRABALHO,sumula,vinculante,2014-12-05
4685968,2015-03-18,procedente,não,Cármen Lúcia,CPC/1973,não,sim,não,não,não,TRABALHO E PREVIDENCIÁRIO,trabalho,superior,DIREITO DO TRABALHO,controle_concentrado,vinculante,2014-12-09
4685130,2015-03-23,procedente,não,Luís Roberto Barroso,CPC/1973,não,não,não,não,sim,PENAL E PROCESSO PENAL,estadual,primeira,DIREITO PROCESSUAL PENAL,sumula,vinculante,2014-12-08
